filename,document_id,classification,category,word_count,page_count,dates,project_names,persons,organizations,locations
CIA-RDP79-00999A000400050002-4.txt,,,experiment_results,2888,5,02/11/13,"SCANATE

Exploratory Research in Remote Viewing

As a result of the experimentation carried out on what might be
termed micro","Lano|Approved|W Volcano|H.E.
Puthoff|I. Swann|CA|Pat|Pat Response|S.E.|R.J. Hamilton","CIA|Project SCANATE

Exploratory Research|Swann|SRI|STANFORD RESEARCH INSTITUTE|SWANN|ENE|H
Cocean|Nike|Fig",W Ocean|Lake|Victoria|Iceland|Soviet Union|E City|Lake Eyre|Australia|Virginia|Menlo Park
CIA-RDP79-00999A000400050004-2.txt,,SECRET,experiment_results,231,1,02/11/13,,Pat Price|Pat|Morgan|Impossible|False,CIA|Morgan|American Air Force|the Air Force|Determine|Partly True,Beirut
CIA-RDP79-00999A000400050005-1.txt,,UNCLASSIFIED,experiment_results,907,1,02/11/13|3 July 1974,,"Patrick Price|Yor|AL

Page","-1|ANC|ADDRESS|PHONE|SG1I

Approved|CIA|OTS|BAB|SGi1I|ORD",
CIA-RDP79-00999A000400050006-0.txt,,CONFIDENTIAL,remote_viewing,696,1,"02/11/13|29 April 1975|31 January
1975|26 April 1975",,Patrick H. Price|Grid Coordinates|Pat|Price,BAB|OTS|Agency|CIA|R & D.|Personality|PEQ,Scientology
CIA-RDP79-00999A000400050009-7.txt,,SECRET,correspondence,615,1,03/02/27|29 May 1975|21 May 1975,,Patrick Price|Price|Jack Vorona|Vorona,CIA|OFFICER|BAB|Agency|DIA|OTS|SG1I|SRI|Board|THA,
CIA-RDP79-00999A000400050010-5.txt,,,experiment_results,244,1,02/11/13,,,"CIA|Results
SRI Report|Neuropsychological

Information|Evoked Potential",West Virginia|USSR|Costa Rica|New York
CIA-RDP79-00999A000400050011-4.txt,,CONFIDENTIAL,experiment_results,1548,3,02/11/13|02/11/43|2 August 1972|6/17/98,,Puthoff|Ingo Swann|vritias vou|Iam|Pantell|Puthoff£|Gertrude S@msecidler|Arthur Nebbard|Tey|Said,"joe
r|BAB|Applied Physics
Branch|D&E|Puthoff|Life Sciences
Division|Life Sciences|RESEARCH INSTITUTE|Russeli Targ|Ishoratory",MENLO PARK|Wiley|New York
CIA-RDP79-00999A000400050012-3.txt,,SECRET,experiment_results,3177,6,02/11/134|02/11/13,,"chEGR Eobooncnenaowsvetz-s

Interim Engineering Report|HAROLD E. PUTHOFF RUSSELL TARG|TR|Quadrangle|Sketches|Grant|Puthoff|Aithough|otmaut jue gone
|crresidtiys cho",STANFORD RESEARCH INSTITUTE|CIA|RET|Resolution Experiments|Pilot Alphabet Experiments|Automated Alphabet Experiments|Long Distance Experiment with Teleconferencing|Arctic Experiments|Pilot Study|IV CONCLUSIONS .....,Menlo Park|California|New York-Dayton Long-Distance Experiment|Palo Alto Used|New York City|New York City Target|USSR|New York|the Soviet Union|Subject I1
CIA-RDP79-00999A000400050014-1.txt,,SECRET,experiment_results,2180,4,16 November 1977|04/02/07|04/07/07|7 August 1977|17 November 1977,,"David Brandwein|Pat Long|Pat Price|Patrick Price|COm-|Kathys Farms|David L.
Francis|ron
Up|Ingo Swann|Lol OTS","SG1I

Approved|CIA|OTS|BAB|OTS Involvement|the House
Permanent Select Committee on Intelligence|Committee|O'Neil Committee Staff|the Washington Post|Agency","Huntington|West
Virginia|Menlo Park|California|Burbank|Computers"
CIA-RDP96-00787R000100010001-1.txt,CIA-RDP96-00787R000100010001-1,,experiment_results,15212,30,12 March 1974|00/08/10|1 March 1974,,Harold E|talkie|Patrick H|Hella Hammid|Duane Elgin|SG1I Po|Karl Pribram|Robert Ornstein|Donald Lim|Jerry Lukas,"SA|AER AAS|ER|Stanford Research Institute|Puthoff

Client|CIA|SRI|EEG|PO|SGi1I",Peak|H.H.|Palo Alto|Menlo Park|California|BB|Tig|Faraday|New York|SRL
CIA-RDP96-00787R000100020001-0.txt,CIA-RDP96-00787R000100020001-0,,experiment_results,18545,37,00/08/10|1 August 1974,"Atlas Remote Viewing

A remote","Harold E. Puthoff

Client|cL.|Herold E. Puthett & Russell|s Laafioer
SUBS|Fert Dro - RESIERCE|enema mer|LALO LEE Pete|Ain Se|Puthoff|G3SN","MER|RESEARCH INSTITUTE

SRI|Stanford Research Institu|CIA|CiA|DOC|Puthoff & Ruseell Terg|FECHNTQUES|Finel Report|Sc",Menlo Park|California|rome|Costa Rica|LADYVL|SV|SAN ANDRES|HP.|ewe|WA.I.S.
CIA-RDP96-00787R000100030001-9.txt,CIA-RDP96-00787R000100030001-9,,experiment_results,7106,14,00/08/10,,"Harvey Brooks|Raymond|G. Heath

Thousands|Raymond J. Iloek
How|Cerald Feinberg|R. Merton Love|Michacl W. Berns|Donald E. Rounds|Gerard Picl|Dennis Flanagan",CIA|AFAR|PHOSPHENES|Cerald Oster|AUTHORS|MATHEMATICAL|AMATEUR|Armand Schwab|Production Managers|GenzRat,U.S.|CANADA|K~|Relea
CIA-RDP96-00787R000100030002-8.txt,CIA-RDP96-00787R000100030002-8,,remote_viewing,6557,13,,,"Henry IV|Charles Tart|Astronaut Edgar

Mitchell|Arthur Koestler|Koestler|Durham|Robert Morris|Appovédsk|noClALRDR8O0078|J.B. Rhine","COVER STORY

Boom Times|The Secret Life|greenery|Greck|Eastern|the New Scientist|the University of California|Defense|Advanced Research Projects
Agency|the Stanford Research Institute",America|US|New York City|England|Los Angeles|Washington|Philippines|U.S.|U.S.S.R.|California
